id	words	Self-fulfill	Appreciating Beauty	Social Relation	Health	Ambition & Ability	Finance
1476493:0	7	0	0	0	0	0	0
1486041:3	9	0	0	0	0	0	0
1496707:2	8	0	0	0	0	1	0
1506491:4	6	0	0	0	0	0	0
1543345:5	5	0	0	0	0	0	0
1561259:2	17	0	0	1	0	1	0
1561259:5	10	0	0	0	0	0	0
1573534:7	7	0	0	0	0	0	0
1577714:2	12	0	0	0	1	0	0
1577714:3	13	0	0	0	0	0	0
1586174:2	10	0	0	0	0	0	0
1586174:7	6	0	0	0	0	0	0
1603698:0	12	0	0	0	0	0	0
1606837:0	5	0	0	0	0	0	0
1606837:3	7	0	0	0	0	0	0
1611489:0	16	0	0	0	0	1	0
1626564:2	5	0	0	0	1	0	0
1632929:6	11	0	0	0	0	0	0
1642666:1	15	0	0	0	1	0	0
1642666:3	12	0	0	0	0	0	0
1655504:3	9	0	0	0	0	0	0
1655504:4	7	1	0	0	0	0	1
1655521:2	15	0	0	0	0	0	0
1660047:2	13	0	0	0	0	1	0
1661043:2	6	1	0	0	0	0	0
1661757:4	10	1	0	0	0	0	0
1662726:0	19	0	0	0	0	1	0
1663111:0	5	0	0	0	0	0	0
1663111:3	13	1	0	0	0	0	0
1663111:4	12	0	0	0	0	1	0
1663111:5	7	1	0	0	0	0	0
1671113:2	15	0	0	0	0	1	0
1671113:3	11	0	1	0	0	0	0
1671113:4	20	0	0	0	0	1	0
1700205:1	18	1	0	1	0	1	0
1702257:0	5	0	1	0	0	0	0
1702257:1	8	0	0	0	1	0	0
1702257:2	10	1	0	0	0	0	0
1706644:2	12	1	0	0	0	0	0
1707201:2	6	0	1	0	0	0	0
1707201:3	7	0	0	0	0	1	0
1707741:1	6	1	0	0	0	0	0
1707741:3	5	0	0	0	0	1	0
1710746:0	14	1	0	0	0	0	0
1710746:1	11	1	0	0	0	0	0
1710746:3	8	1	0	0	0	0	0
1710746:4	20	1	0	0	0	0	0
1710746:5	5	0	0	0	0	0	1
1713185:2	7	1	0	0	0	0	0
1713185:3	14	1	0	0	0	0	0
1718513:2	8	0	0	0	0	1	0
1718513:3	16	0	1	0	0	0	0
1718513:4	6	0	0	0	0	0	0
1719567:2	16	1	0	0	0	0	0
1719567:4	12	0	0	0	0	0	0
1726001:1	8	1	0	0	0	1	0
1726473:1	7	0	0	0	0	1	0
1726473:3	8	0	0	0	0	1	0
1726473:4	11	0	0	0	0	1	0
1727363:1	13	0	0	0	0	0	1
1728733:5	14	1	0	1	0	0	0
1730014:1	7	1	0	0	0	1	0
1730127:0	7	0	0	0	0	0	0
1730127:2	7	0	0	0	0	0	0
1730127:4	6	0	0	0	0	0	0
1730447:2	7	1	0	0	0	0	0
1730447:3	13	1	0	1	0	0	0
1746113:1	9	0	0	0	0	0	0
1746113:3	5	0	0	0	1	0	0
1746113:5	15	1	0	0	0	0	0
1748813:0	12	1	0	0	0	0	0
1748813:1	12	1	0	0	0	0	1
1748813:2	6	1	0	0	0	0	0
1748839:0	20	0	0	1	0	0	0
1748839:1	17	0	0	1	0	0	0
1748839:7	16	0	0	1	0	0	0
378848:3	17	1	1	1	0	0	0
397331:1	13	1	0	0	0	0	0
397331:4	17	0	0	0	0	0	0
404464:1	13	0	0	0	0	0	0
404464:2	10	1	0	0	0	0	0
404464:3	11	0	0	0	0	0	1
426805:0	9	1	1	0	0	0	0
426805:1	5	0	0	0	0	0	0
426805:2	8	1	0	0	0	0	0
426805:3	7	1	0	0	0	0	0
426930:0	11	1	0	0	0	0	1
426930:2	20	1	0	0	0	0	0
430342:2	13	1	0	0	0	0	0
433878:0	17	1	0	0	0	0	0
433878:1	7	1	0	0	1	0	0
433878:2	15	0	0	0	1	0	0
433878:3	5	0	0	0	0	1	0
433878:4	7	0	0	0	0	0	1
433878:5	8	0	0	1	0	0	0
433878:6	5	0	0	0	0	0	0
436868:0	18	1	0	0	0	0	0
436868:2	8	1	0	0	0	0	1
444818:0	5	0	0	0	0	0	0
444818:1	11	1	0	1	0	0	0
444818:2	12	1	0	0	0	0	0
445960:1	17	0	1	0	0	0	0
445960:2	16	0	1	0	0	0	0
445960:3	14	1	0	0	0	0	0
445960:4	14	0	1	0	0	0	0
449802:0	9	0	0	0	0	0	0
449802:1	6	1	0	0	0	0	0
449802:4	9	0	0	1	0	0	0
455623:3	6	0	0	0	0	0	0
461928:0	8	1	0	0	0	0	0
461928:1	14	1	0	1	0	0	0
461928:3	9	0	0	0	0	0	0
464215:2	13	1	0	0	0	0	0
464215:4	13	0	0	0	0	0	1
464342:2	9	1	0	0	0	0	0
470488:0	9	1	0	0	0	0	0
470488:1	10	1	0	0	0	0	0
470488:3	13	1	0	0	0	0	0
470488:4	13	1	0	0	0	0	0
470488:6	18	1	0	0	0	0	0
475298:2	5	1	0	0	0	0	1
475298:4	6	0	0	0	0	0	0
475512:2	10	0	0	0	0	0	0
475512:4	5	0	0	0	0	0	0
476473:1	5	0	0	0	0	1	0
483111:0	13	0	0	1	0	0	0
483111:2	6	0	0	0	0	0	0
485026:0	9	1	0	0	0	0	0
485767:0	6	1	0	0	0	0	0
485767:1	6	0	0	0	0	1	0
485767:4	7	0	0	0	0	0	1
485966:1	6	1	1	0	0	0	0
485966:2	7	1	0	1	0	0	0
485966:3	18	1	0	0	0	0	0
485966:4	10	1	0	1	0	0	0
490565:3	16	0	1	0	0	0	0
490565:5	17	0	1	0	0	0	0
490565:6	7	0	0	0	0	0	0
493013:0	13	1	0	0	0	0	0
493013:3	11	1	0	0	0	0	0
493013:5	7	0	0	0	0	0	0
493514:1	11	1	0	0	0	0	0
493514:2	10	0	0	0	0	0	0
494850:2	11	0	0	0	0	0	0
494850:3	5	1	0	0	0	0	0
496132:0	19	0	0	1	0	0	0
496132:1	6	0	1	0	0	0	0
496132:4	11	1	0	0	0	0	0
498657:1	18	0	0	0	0	0	1
498657:2	14	1	0	0	0	0	1
498657:3	10	0	0	0	1	0	0
503807:4	19	1	0	0	0	0	0
503807:5	9	0	1	0	0	1	0
505535:0	12	0	1	0	0	0	1
505535:1	15	1	0	0	0	0	0
507844:0	19	0	0	0	0	1	0
507844:4	8	0	0	0	0	1	0
507937:2	10	1	0	0	0	0	1
507937:3	5	0	0	1	0	1	0
507937:4	16	1	0	0	0	0	0
511290:2	6	1	0	0	0	0	0
511290:3	12	1	0	1	0	0	0
512294:1	15	0	0	0	1	0	1
512925:1	15	1	0	0	0	0	0
513521:0	6	1	0	0	0	0	0
513521:2	8	0	0	0	0	1	0
519425:2	12	1	0	0	0	0	0
521916:1	16	1	0	1	0	0	1
527109:2	13	1	0	0	0	0	0
528251:3	10	1	0	0	0	0	0
530517:0	14	0	1	0	0	0	0
530517:2	6	1	1	1	0	0	0
535086:0	15	0	0	1	0	0	0
535086:1	8	1	0	0	0	0	0
535086:3	17	0	0	1	0	0	0
535086:5	16	0	0	1	0	0	0
535086:6	10	0	0	0	0	0	0
535171:1	7	0	1	0	0	0	0
535171:2	11	1	0	1	0	0	0
535171:3	13	0	1	1	0	0	0
535248:2	8	0	0	0	0	0	1
535248:3	20	1	0	0	0	0	0
536919:0	14	1	0	1	0	0	0
536919:1	16	0	0	1	0	0	0
541532:0	10	0	0	0	0	0	0
541532:3	15	1	1	0	0	0	0
553097:0	16	0	0	1	0	0	0
553097:1	9	0	0	0	0	0	0
553097:4	17	1	0	0	0	0	1
553097:5	18	1	0	0	0	0	0
553097:6	5	0	0	0	0	0	1
555734:1	9	1	0	0	0	0	0
555734:2	5	0	0	0	0	0	1
558423:1	14	1	0	0	0	0	0
558423:2	14	0	0	1	0	1	0
558423:6	12	1	0	0	0	0	0
558423:7	8	1	0	0	0	0	0
565344:0	11	0	0	0	0	0	0
565344:1	18	0	0	0	0	0	1
571962:3	5	0	0	0	0	0	0
578016:0	7	1	0	0	0	0	0
584025:0	12	1	0	0	0	0	0
584025:1	14	0	0	0	0	0	0
584025:2	15	1	0	0	0	0	1
584025:3	8	0	0	0	0	0	0
608500:1	5	0	0	0	0	0	0
608500:2	17	0	0	1	0	0	1
610611:1	8	1	0	0	0	0	0
611117:2	9	0	0	0	0	0	0
611117:4	6	0	0	0	0	0	0
620892:6	17	1	0	0	0	0	1
624715:0	6	0	0	0	0	0	1
626269:2	8	0	1	0	0	0	0
626269:3	7	1	0	0	0	0	1
626269:4	5	0	0	0	0	0	0
630914:4	5	0	0	0	0	0	0
632121:2	10	1	0	0	0	0	0
632121:3	16	0	0	1	0	1	0
657129:0	5	1	0	0	0	0	0
657129:3	9	1	0	0	0	0	0
657129:4	8	0	0	1	0	0	0
680345:0	10	1	0	0	0	0	0
680345:1	9	1	0	0	0	0	0
680345:2	8	1	0	0	0	0	0
680390:0	12	0	1	0	0	0	0
680390:2	16	1	0	0	0	0	0
682250:0	15	1	1	1	0	0	0
682250:3	5	0	0	0	0	0	0
682250:3	5	0	0	0	0	0	0
682391:0	10	1	0	0	0	0	0
682391:3	5	1	0	0	0	0	0
707917:0	17	0	0	0	0	0	0
707917:1	20	0	0	0	0	0	0
707917:2	9	0	1	0	0	1	0
709294:0	7	0	0	1	0	0	0
709294:3	11	1	0	0	0	0	1
713152:2	6	0	0	0	0	0	1
713152:4	11	0	0	0	0	0	1
717570:2	13	1	0	0	0	0	1
717570:3	16	1	0	0	0	0	1
717570:5	10	0	0	0	0	1	0
717570:6	7	0	0	0	0	0	0
720418:0	8	1	0	0	0	1	0
720418:1	8	0	0	0	0	1	0
720418:2	17	1	0	1	0	0	0
720418:3	8	1	0	0	0	0	0
720418:4	8	1	0	0	0	0	1
720620:3	20	1	0	0	0	0	0
720620:6	9	0	0	1	0	0	0
720620:8	12	1	0	0	0	0	0
735448:1	9	0	1	0	0	0	0
737999:2	8	0	0	1	0	0	0
737999:5	6	1	0	0	0	0	0
744478:0	14	0	0	0	0	0	0
746254:0	18	0	1	1	0	0	0
746254:3	5	0	0	0	0	0	0
757762:1	11	0	0	0	0	1	0
757762:3	13	0	0	1	0	0	0
758263:2	5	0	0	0	0	0	0
759781:2	11	0	0	1	0	0	0
759781:5	8	0	0	1	0	0	0
929329:2	13	0	0	0	0	0	0
955711:1	7	1	0	0	0	0	0
ADLT#6:5	16	0	0	1	0	0	0
ADLT#9:4	8	1	0	1	0	0	0
BFC#7:5	20	0	0	1	0	0	0
BFC#9:21	16	0	0	0	1	0	1
